,fl_date,op_carrier,iata,icao,state,state_name,airport,latitude,longitude,dep_delay,arr_delay,cancelled,cancellation_code,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,2022-01-01,Endeavor Air Inc.,ABE,KABE,PA,Pennsylvania,Lehigh Valley International Airport,40.6521,-75.4408,,,1.0,B,,,,,
1,2022-01-01,Endeavor Air Inc.,ABE,KABE,PA,Pennsylvania,Lehigh Valley International Airport,40.6521,-75.4408,-5.0,-25.0,0.0,,,,,,
2,2022-01-01,Endeavor Air Inc.,ABE,KABE,PA,Pennsylvania,Lehigh Valley International Airport,40.6521,-75.4408,-1.0,-15.0,0.0,,,,,,
3,2022-01-01,Endeavor Air Inc.,ABY,KABY,GA,Georgia,Southwest Georgia Regional Airport,31.5355,-84.1945,-3.0,-10.0,0.0,,,,,,
4,2022-01-01,Endeavor Air Inc.,ABY,KABY,GA,Georgia,Southwest Georgia Regional Airport,31.5355,-84.1945,56.0,45.0,0.0,,0.0,0.0,0.0,0.0,45.0
5,2022-01-01,Endeavor Air Inc.,AEX,KAEX,LA,Louisiana,Alexandria International Airport,31.3274,-92.5498,-7.0,-2.0,0.0,,,,,,
6,2022-01-01,Endeavor Air Inc.,AEX,KAEX,LA,Louisiana,Alexandria International Airport,31.3274,-92.5498,112.0,96.0,0.0,,0.0,0.0,0.0,0.0,96.0
7,2022-01-01,Endeavor Air Inc.,AGS,KAGS,GA,Georgia,Augusta Regional Airport at Bush Field,33.3699,-81.9645,-5.0,-15.0,0.0,,,,,,
8,2022-01-01,Endeavor Air Inc.,AGS,KAGS,GA,Georgia,Augusta Regional Airport at Bush Field,33.3699,-81.9645,-4.0,-28.0,0.0,,,,,,
9,2022-01-01,Endeavor Air Inc.,AGS,KAGS,GA,Georgia,Augusta Regional Airport at Bush Field,33.3699,-81.9645,-3.0,-21.0,0.0,,,,,,
10,2022-01-01,Endeavor Air Inc.,AGS,KAGS,GA,Georgia,Augusta Regional Airport at Bush Field,33.3699,-81.9645,-2.0,-20.0,0.0,,,,,,
11,2022-01-01,Endeavor Air Inc.,ALB,KALB,NY,New York,Albany International Airport,42.7483,-73.8017,-5.0,-7.0,0.0,,,,,,
12,2022-01-01,Endeavor Air Inc.,ALB,KALB,NY,New York,Albany International Airport,42.7483,-73.8017,3.0,-16.0,0.0,,,,,,
13,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,,,1.0,A,,,,,
14,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,,,1.0,A,,,,,
15,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,,,1.0,B,,,,,
16,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,,,1.0,B,,,,,
17,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,-10.0,-11.0,0.0,,,,,,
18,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,-9.0,-13.0,0.0,,,,,,
19,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,-8.0,5.0,0.0,,,,,,
20,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,-7.0,-11.0,0.0,,,,,,
21,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,-7.0,-4.0,0.0,,,,,,
22,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,-6.0,-19.0,0.0,,,,,,
23,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,-6.0,-13.0,0.0,,,,,,
24,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,-6.0,-11.0,0.0,,,,,,
25,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,-5.0,,0.0,,,,,,
26,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,-5.0,,0.0,,,,,,
27,2022-01-01,Endeavor Air Inc.,ATL,KATL,GA,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,-5.0,-18.0,0.0,,,,,,
